"model"|"product"|"m"|"features"|"dependencies"|"variables"|"relations"|"start"|"end"|"result"|"time"|"resultSize"|"min"|"minSize"|"union"|"accuracy"|"minimality"
"tiny.xml"|"30-0"|2|4|2|4|4|1501527165605|1501527165723|"U_C"|118|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-0"|4|4|2|4|4|1501527165715|1501527165815|"U_C"|100|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-0"|6|4|2|4|4|1501527165753|1501527165870|"U_C"|117|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-0"|10|4|2|4|4|1501527165865|1501527165955|"U_C"|90|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-1"|1|4|2|4|4|1501527166078|1501527166218|"U_C"|140|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-1"|2|4|2|4|4|1501527166220|1501527166316|"U_C"|96|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-1"|4|4|2|4|4|1501527166219|1501527166324|"U_C"|105|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-1"|6|4|2|4|4|1501527166353|1501527166448|"U_C"|95|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-1"|10|4|2|4|4|1501527166586|1501527166717|"U_C"|131|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-2"|1|4|2|4|4|1501527166650|1501527166771|"U_C"|121|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-2"|2|4|2|4|4|1501527166715|1501527166811|"U_C"|96|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-2"|4|4|2|4|4|1501527166886|1501527166987|"U_C"|101|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-2"|6|4|2|4|4|1501527167058|1501527167181|"U_C"|123|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-2"|10|4|2|4|4|1501527167170|1501527167274|"U_C"|104|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-3"|1|4|2|4|4|1501527167207|1501527167314|"U_C"|107|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-3"|2|4|2|4|4|1501527167345|1501527167462|"U_C"|117|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-3"|4|4|2|4|4|1501527167575|1501527167693|"U_C"|118|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-3"|10|4|2|4|4|1501527167671|1501527167779|"U_C"|108|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-3"|6|4|2|4|4|1501527167665|1501527167766|"U_C"|101|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-4"|1|4|2|4|4|1501527167850|1501527167945|"U_C"|95|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-4"|6|4|2|4|4|1501527168140|1501527168237|"U_C"|97|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-4"|2|4|2|4|4|1501527168111|1501527168230|"U_C"|119|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-4"|4|4|2|4|4|1501527168155|1501527168275|"U_C"|120|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-4"|10|4|2|4|4|1501527168364|1501527168496|"U_C"|132|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-5"|1|4|2|4|4|1501527168598|1501527168724|"U_C"|126|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-5"|4|4|2|4|4|1501527168635|1501527168744|"U_C"|109|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-5"|2|4|2|4|4|1501527168672|1501527168766|"U_C"|94|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-5"|6|4|2|4|4|1501527168839|1501527168951|"U_C"|112|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-5"|10|4|2|4|4|1501527169115|1501527169233|"U_C"|118|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-6"|2|4|2|4|4|1501527169138|1501527169251|"U_C"|113|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-6"|1|4|2|4|4|1501527169195|1501527169310|"U_C"|115|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-6"|4|4|2|4|4|1501527169287|1501527169372|"U_C"|85|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-6"|6|4|2|4|4|1501527169632|1501527169749|"U_C"|117|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-6"|10|4|2|4|4|1501527169624|1501527169737|"U_C"|113|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-7"|1|4|2|4|4|1501527169707|1501527169805|"U_C"|98|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-7"|2|4|2|4|4|1501527169770|1501527169863|"U_C"|93|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-7"|6|4|2|4|4|1501527170094|1501527170209|"U_C"|115|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-7"|4|4|2|4|4|1501527170113|1501527170217|"U_C"|104|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-7"|10|4|2|4|4|1501527170188|1501527170298|"U_C"|110|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-8"|1|4|2|4|4|1501527170342|1501527170454|"U_C"|112|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-8"|2|4|2|4|4|1501527170545|1501527170636|"U_C"|91|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-8"|4|4|2|4|4|1501527170535|1501527170648|"U_C"|113|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-8"|6|4|2|4|4|1501527170722|1501527170825|"U_C"|103|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-8"|10|4|2|4|4|1501527170858|1501527170963|"U_C"|105|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-9"|1|4|2|4|4|1501527170993|1501527171097|"U_C"|104|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-9"|2|4|2|4|4|1501527171063|1501527171152|"U_C"|89|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-9"|4|4|2|4|4|1501527171185|1501527171267|"U_C"|82|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-9"|6|4|2|4|4|1501527171339|1501527171444|"U_C"|105|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"30-9"|10|4|2|4|4|1501527171483|1501527171597|"U_C"|114|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"50-0"|1|4|2|4|4|1501527171575|1501527171685|"U_B"|110|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-0"|2|4|2|4|4|1501527171606|1501527171708|"U_C, U_B"|102|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-0"|4|4|2|4|4|1501527171817|1501527171942|"U_C, U_B"|125|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-0"|6|4|2|4|4|1501527171954|1501527172045|"U_C, U_B"|91|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-0"|10|4|2|4|4|1501527172106|1501527172206|"U_C, U_B"|100|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-1"|1|4|2|4|4|1501527172111|1501527172241|"U_B"|130|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-1"|2|4|2|4|4|1501527172307|1501527172414|"U_C, U_B"|107|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-1"|4|4|2|4|4|1501527172407|1501527172521|"U_C, U_B"|114|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-1"|10|4|2|4|4|1501527172603|1501527172715|"U_C, U_B"|112|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-1"|6|4|2|4|4|1501527172624|1501527172740|"U_C, U_B"|116|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-2"|1|4|2|4|4|1501527172782|1501527172895|"U_B"|113|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-2"|2|4|2|4|4|1501527172905|1501527173017|"U_C, U_B"|112|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-2"|4|4|2|4|4|1501527173080|1501527173188|"U_C, U_B"|108|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-2"|6|4|2|4|4|1501527173121|1501527173223|"U_C, U_B"|102|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-2"|10|4|2|4|4|1501527173273|1501527173374|"U_C, U_B"|101|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-3"|1|4|2|4|4|1501527173402|1501527173524|"U_B"|122|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-3"|4|4|2|4|4|1501527173565|1501527173666|"U_C, U_B"|101|2|"U_B"|1|"U_B"|1|0.5
