"model","variables","dependencies","m","time.mean","minimality.mean","accuracy.mean"
"model_20091210_993249741.xml",29,0,10,125.866666666667,0.255952380952381,1
"model_20091219_494647199.xml",11,0,1,123.333333333333,1,1
"model_20091219_494647199.xml",11,0,2,119.666666666667,0.666666666666667,1
"model_20091219_494647199.xml",11,0,4,119.733333333333,0.555555555555556,1
"model_20091219_494647199.xml",11,0,6,115.6,0.511111111111111,1
"model_20091219_494647199.xml",11,0,10,118.633333333333,0.511111111111111,1
"model_20091225_1547989376.xml",29,2,1,163.533333333333,1,1
"model_20091225_1547989376.xml",29,2,2,149.8,0.5,1
"model_20091225_1547989376.xml",29,2,4,139.6,0.333333333333333,1
"model_20091225_1547989376.xml",29,2,6,140.4,0.333333333333333,1
"model_20091225_1547989376.xml",29,2,10,129,0.255952380952381,1
"model_20100106_985255768.xml",20,0,1,178.9,1,1
"model_20100106_985255768.xml",20,0,2,158.2,0.553333333333333,0.955555555555556
"model_20100106_985255768.xml",20,0,4,140.433333333333,0.458333333333333,1
"model_20100106_985255768.xml",20,0,6,130.533333333333,0.433333333333333,1
"model_20100106_985255768.xml",20,0,10,123.766666666667,0.433333333333333,1
"model_20100213_206550190.xml",38,8,1,204,1,1
"model_20100213_206550190.xml",38,8,2,191.8,0.555555555555556,1
"model_20100213_206550190.xml",38,8,4,176.166666666667,0.385555555555556,1
"model_20100213_206550190.xml",38,8,6,155.133333333333,0.288888888888889,1
"model_20100213_206550190.xml",38,8,10,146.1,0.285730994152047,1
"model_20100216_713947806.xml",12,0,1,115.2,1,1
"model_20100216_713947806.xml",12,0,2,113.033333333333,0.666666666666667,1
"model_20100216_713947806.xml",12,0,4,112.266666666667,0.555555555555556,1
"model_20100216_713947806.xml",12,0,6,111.7,0.5,1
"model_20100216_713947806.xml",12,0,10,109.133333333333,0.5,1
"model_20100308_1032655961.xml",15,2,1,136.433333333333,1,1
"model_20100308_1032655961.xml",15,2,2,129.5,0.666666666666667,1
"model_20100308_1032655961.xml",15,2,4,124.966666666667,0.5,1
"model_20100308_1032655961.xml",15,2,6,123.166666666667,0.5,1
"model_20100308_1032655961.xml",15,2,10,117.9,0.464285714285714,1
"model_20100308_1355834007.xml",20,0,1,153.966666666667,1,1
"model_20100308_1355834007.xml",20,0,2,138.533333333333,0.5,1
"model_20100308_1355834007.xml",20,0,4,133.466666666667,0.388888888888889,1
"model_20100308_1355834007.xml",20,0,6,130.1,0.288888888888889,1
"model_20100308_1355834007.xml",20,0,10,124.633333333333,0.255555555555556,1
"model_20100321_1548012375.xml",18,0,1,118.266666666667,1,1
"model_20100321_1548012375.xml",18,0,2,116.966666666667,0.666666666666667,1
"model_20100321_1548012375.xml",18,0,4,118.333333333333,0.555555555555556,1
"model_20100321_1548012375.xml",18,0,6,112.266666666667,0.466666666666667,1
"model_20100321_1548012375.xml",18,0,10,107.433333333333,0.437037037037037,1
"model_20100322_955726153.xml",20,1,1,144.1,1,1
"model_20100322_955726153.xml",20,1,2,136.866666666667,0.5,1
"model_20100322_955726153.xml",20,1,4,129.666666666667,0.388888888888889,1
"model_20100322_955726153.xml",20,1,6,122.3,0.288888888888889,1
"model_20100322_955726153.xml",20,1,10,123.2,0.255555555555556,1
"model_20100324_1996898492.xml",11,3,1,117.8,1,1
"model_20100324_1996898492.xml",11,3,2,113.6,0.666666666666667,1
"model_20100324_1996898492.xml",11,3,4,112,0.555555555555556,1
"model_20100324_1996898492.xml",11,3,6,111.233333333333,0.511111111111111,1
"model_20100324_1996898492.xml",11,3,10,112.3,0.511111111111111,1
"model_20100325_298677687.xml",10,0,1,123.5,1,1
"model_20100325_298677687.xml",10,0,2,119.333333333333,0.666666666666667,1
"model_20100325_298677687.xml",10,0,4,116.9,0.555555555555556,1
"model_20100325_298677687.xml",10,0,6,116.033333333333,0.511111111111111,1
"model_20100325_298677687.xml",10,0,10,116.166666666667,0.511111111111111,1
"model_20100326_770562654.xml",27,2,1,160.266666666667,1,1
"model_20100326_770562654.xml",27,2,2,144.8,0.6,0.933333333333333
"model_20100326_770562654.xml",27,2,4,139.2,0.444444444444444,1
"model_20100326_770562654.xml",27,2,6,136.833333333333,0.444444444444444,1
"model_20100326_770562654.xml",27,2,10,127.1,0.297619047619048,1
"model_20100412_337845737.xml",10,0,1,117.666666666667,1,1
"model_20100412_337845737.xml",10,0,2,114.866666666667,0.666666666666667,1
"model_20100412_337845737.xml",10,0,4,110.933333333333,0.555555555555556,1
"model_20100412_337845737.xml",10,0,6,110.2,0.511111111111111,1
"model_20100412_337845737.xml",10,0,10,109.9,0.511111111111111,1
"model_20100415_240595643.xml",31,2,1,165.233333333333,1,1
"model_20100415_240595643.xml",31,2,2,149.566666666667,0.533333333333333,1
"model_20100415_240595643.xml",31,2,4,140.766666666667,0.305555555555556,1
"model_20100415_240595643.xml",31,2,6,139.233333333333,0.261111111111111,1
"model_20100415_240595643.xml",31,2,10,134.166666666667,0.189814814814815,1
"model_20100415_947132043.xml",31,7,1,166.3,1,1
"model_20100415_947132043.xml",31,7,2,149.866666666667,0.5,1
"model_20100415_947132043.xml",31,7,4,143.9,0.305555555555556,1
"model_20100415_947132043.xml",31,7,6,140.466666666667,0.261111111111111,1
"model_20100415_947132043.xml",31,7,10,136.533333333333,0.189814814814815,1
"model_20100416_811483774.xml",16,0,1,147.966666666667,1,1
"model_20100416_811483774.xml",16,0,2,138.533333333333,0.75,0.888888888888889
"model_20100416_811483774.xml",16,0,4,129.966666666667,0.541666666666667,1
"model_20100416_811483774.xml",16,0,6,132.733333333333,0.541666666666667,1
"model_20100416_811483774.xml",16,0,10,125.1,0.541666666666667,1
"model_20100529_1010171189.xml",22,0,1,163.633333333333,1,1
"model_20100529_1010171189.xml",22,0,2,147.833333333333,0.6,0.916666666666667
"model_20100529_1010171189.xml",22,0,4,138.333333333333,0.464444444444444,0.916666666666667
"model_20100529_1010171189.xml",22,0,6,122.733333333333,0.343434343434343,1
"model_20100529_1010171189.xml",22,0,10,125.133333333333,0.343434343434343,1
"model_20100607_746327867.xml",20,0,1,165.266666666667,1,1
"model_20100607_746327867.xml",20,0,2,153.333333333333,0.583333333333333,1
"model_20100607_746327867.xml",20,0,4,142.166666666667,0.444444444444444,1
"model_20100607_746327867.xml",20,0,6,132.633333333333,0.322222222222222,1
"model_20100607_746327867.xml",20,0,10,127.2,0.322222222222222,1
"model_20100624_2076952989.xml",17,3,1,147.633333333333,1,1
"model_20100624_2076952989.xml",17,3,2,143.433333333333,0.666666666666667,1
"model_20100624_2076952989.xml",17,3,4,131.666666666667,0.527777777777778,1
"model_20100624_2076952989.xml",17,3,6,128.366666666667,0.483333333333333,1
"model_20100624_2076952989.xml",17,3,10,128.1,0.441666666666667,1
"model_20100625_251719781.xml",16,0,1,117.966666666667,1,1
"model_20100625_251719781.xml",16,0,2,113.5,0.666666666666667,1
"model_20100625_251719781.xml",16,0,4,108.633333333333,0.5,1
"model_20100625_251719781.xml",16,0,6,116.633333333333,0.5,1
"model_20100625_251719781.xml",16,0,10,113.1,0.458333333333333,1
"model_20100712_329430908.xml",20,0,1,127.2,1,1
"model_20100712_329430908.xml",20,0,2,121.766666666667,0.5,1
"model_20100712_329430908.xml",20,0,4,116.966666666667,0.388888888888889,1
"model_20100712_329430908.xml",20,0,6,111.9,0.288888888888889,1
"model_20100712_329430908.xml",20,0,10,109.5,0.255555555555556,1
"model_20100719_944437142.xml",29,6,1,231.766666666667,1,0.966666666666667
"model_20100719_944437142.xml",29,6,2,193.2,0.783333333333333,0.866666666666667
"model_20100719_944437142.xml",29,6,4,173.133333333333,0.476190476190476,0.866666666666667
"model_20100719_944437142.xml",29,6,6,171.9,0.476190476190476,0.866666666666667
"model_20100719_944437142.xml",29,6,10,139.066666666667,0.392857142857143,1
"model_20100730_1366577700.xml",32,5,1,140.7,1,1
"model_20100730_1366577700.xml",32,5,2,132.866666666667,0.5,1
"model_20100730_1366577700.xml",32,5,4,127.233333333333,0.305555555555556,1
"model_20100730_1366577700.xml",32,5,6,129,0.261111111111111,1
"model_20100730_1366577700.xml",32,5,10,116.9,0.189814814814815,1
"model_20100805_1484639410.xml",31,4,1,139.666666666667,1,1
"model_20100805_1484639410.xml",31,4,2,131.066666666667,0.5,1
"model_20100805_1484639410.xml",31,4,4,121.033333333333,0.305555555555556,1
"model_20100805_1484639410.xml",31,4,6,123.3,0.261111111111111,1
"model_20100805_1484639410.xml",31,4,10,114,0.189814814814815,1
"model_20100822_281357717.xml",15,5,1,147.233333333333,1,0.983333333333333
"model_20100822_281357717.xml",15,5,2,141.866666666667,1,0.85
"model_20100822_281357717.xml",15,5,4,127.533333333333,0.666666666666667,1
"model_20100822_281357717.xml",15,5,6,135.466666666667,0.666666666666667,1
"model_20100822_281357717.xml",15,5,10,124.366666666667,0.595238095238095,1
"model_20100824_837146809.xml",22,0,1,149.933333333333,1,1
"model_20100824_837146809.xml",22,0,2,141.7,0.5,1
"model_20100824_837146809.xml",22,0,4,138.3,0.388888888888889,1
"model_20100824_837146809.xml",22,0,6,126.933333333333,0.277777777777778,1
"model_20100824_837146809.xml",22,0,10,130.333333333333,0.277777777777778,1
"model_20100829_787258873.xml",57,0,1,287.966666666667,1,1
"model_20100829_787258873.xml",57,0,2,263.333333333333,0.525,0.966666666666667
"model_20100829_787258873.xml",57,0,4,215.366666666667,0.340277777777778,0.888888888888889
"model_20100829_787258873.xml",57,0,6,201.9,0.279960317460317,0.888888888888889
"model_20100829_787258873.xml",57,0,10,182.633333333333,0.220728291316527,1
"model_20100830_561967343.xml",32,0,1,144.666666666667,1,1
"model_20100830_561967343.xml",32,0,2,134.966666666667,0.5,1
"model_20100830_561967343.xml",32,0,4,131.966666666667,0.305555555555556,1
"model_20100830_561967343.xml",32,0,6,130.9,0.261111111111111,1
"model_20100830_561967343.xml",32,0,10,122.333333333333,0.189814814814815,1
"model_20100831_1378118837.xml",35,0,1,172.533333333333,1,1
"model_20100831_1378118837.xml",35,0,2,163.4,0.583333333333333,0.95
"model_20100831_1378118837.xml",35,0,4,148.266666666667,0.385555555555556,0.95
"model_20100831_1378118837.xml",35,0,6,142.366666666667,0.321111111111111,0.95
"model_20100831_1378118837.xml",35,0,10,138.466666666667,0.218518518518519,1
"model_20100904_226530663.xml",38,0,1,173.133333333333,1,1
"model_20100904_226530663.xml",38,0,2,164.4,0.5,1
"model_20100904_226530663.xml",38,0,4,144.8,0.333333333333333,1
"model_20100904_226530663.xml",38,0,6,140.9,0.233333333333333,1
"model_20100904_226530663.xml",38,0,10,134.433333333333,0.2,1
"model_20100904_330653656.xml",10,0,1,130.733333333333,1,1
"model_20100904_330653656.xml",10,0,2,123.533333333333,0.666666666666667,1
"model_20100904_330653656.xml",10,0,4,120.066666666667,0.555555555555556,1
"model_20100904_330653656.xml",10,0,6,122.5,0.511111111111111,1
"model_20100904_330653656.xml",10,0,10,116.433333333333,0.511111111111111,1
"model_20100927_1382418986.xml",10,2,1,140.966666666667,1,1
